TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-10-30 14:53:46.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-30 14:53:47.215,1.674252546136193,2.120502973830384,0.8357814160023979,1.678365431162041,1.256186633696234,0.7958978676058797,0.7316578204400257,0.9782230512424145,0.8005207361541136,0.5006936945409989,0.9631548713955089,1.213633438909319,0.6596084636972994,0.5390961702960704,0.7461094941426712,0.9630448611304437,0.6263634058214679,1.096082244737803,1.199600706974731,0.5987797599722322,818.3516483516484,968.2417582417582,996.4468864468864,835.2747252747253,776.4468864468864,-0.291992,0.183350,0.950195,6.273041,0.785065,-1.398163,1,1,1,1,1,50.000000
2021-10-30 14:53:47.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-30 14:53:48.210,1.674252546136193,1.634278291825136,0.7663186897189886,1.710237257690325,1.256186633696234,0.5194523882324515,0.6882748815851231,1.021982843449427,0.8005207361541136,0.6122931313158876,0.9256331230952735,1.206401712332403,0.6596084636972994,0.7038937601461902,0.7557328303934076,1.065041068131108,0.6263634058214679,1.18898497722595,1.164262290336459,0.6264408252788282,830.8424908424909,941.2454212454213,1082.673992673993,844.5421245421246,834.4688644688645,-0.021118,-0.072083,0.973206,3.514099,-4.650574,40.741119,1,1,1,1,1,50.000000
2021-10-30 14:53:49.210,1.674252546136193,1.433392077592117,0.7663186897189886,1.710237257690325,1.256186633696234,0.5844969424834415,0.6882748815851231,1.021982843449427,0.8005207361541136,0.7462246299493358,0.9256331230952735,1.206401712332403,0.6596084636972994,0.6730838397597955,0.7557328303934076,1.065041068131108,0.6263634058214679,1.075356959063164,1.164262290336459,0.6264408252788282,780.8791208791209,889.6703296703297,1011.355311355311,781.2820512820513,809.0842490842491,0.172913,0.091370,1.067383,4.052429,-9.091797,-31.312866,1,2,1,1,2,50.000000
2021-10-30 14:53:49.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-30 14:53:49.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-10-30 14:53:50.213,1.674252546136193,1.350902398765932,1.105485895740595,1.710237257690325,1.256186633696234,0.5772404158699908,0.9720413469111373,1.021982843449427,0.8005207361541136,0.1955377909491368,1.065679571395442,1.206401712332403,0.6596084636972994,0.6423329397183279,0.8201662212360332,1.065041068131108,0.6263634058214679,0.8700804921110792,1.096931602736622,0.6264408252788282,781.2820512820513,897.3260073260074,987.1794871794872,826.007326007326,755.8974358974359,-0.124939,-0.032593,0.965149,-0.523376,13.839569,-10.632019,1,2,1,1,2,50.000000
2021-10-30 14:53:50.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-10-30 14:53:51.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
